userID,firstName,lastName,study_SubjectID
Students-14342108,firstName-14342108,lastName-14342108,Studies-4074318
Students-14342109,firstName-14342109,lastName-14342109,Studies-4074318
Students-14342110,firstName-14342110,lastName-14342110,Studies-4074318
Students-14342111,firstName-14342111,lastName-14342111,Studies-4074318
Students-14342112,firstName-14342112,lastName-14342112,Studies-4074318
Students-14342113,firstName-14342113,lastName-14342113,Studies-4074318
Students-14342114,firstName-14342114,lastName-14342114,Studies-4074318
Students-14342115,firstName-14342115,lastName-14342115,Studies-4074318
Students-14342116,firstName-14342116,lastName-14342116,Studies-4074318
Students-14342117,firstName-14342117,lastName-14342117,Studies-4074318
alice,Alice,Lastname,Studies-4074318
